SHITOMASI, 127, 120, 123, 120, 120, 115, 114, 125, 112, 113
HARRIS, 51, 41, 63, 58, 85, 322, 38, 136, 96, 194
FAST, 420, 431, 408, 430, 389, 417, 422, 413, 401, 405
BRISK, 254, 274, 277, 275, 293, 278, 289, 268, 262, 252
ORB, 91, 102, 106, 114, 109, 124, 128, 127, 124, 125
AKAZE, 164, 157, 159, 154, 163, 168, 174, 175, 176, 176
SIFT, 138, 131, 122, 135, 136, 141, 136, 149, 156, 136
